ts_code,trade_date,Close,open,high,low,pre_close,change,pct_chg,Volume,amount
000001.SH,20141218,3057.52,3062.8,3089.79,3030.32,3061.02,-3.499,-0.1143,435905000,466525000
000001.SH,20141219,3108.6,3053.07,3117.53,3018.42,3057.52,51.075,1.6705,521074000,515580000
000001.SH,20141222,3127.45,3129.27,3189.87,3090.51,3108.6,18.849,0.6064,679372000,624481000
000001.SH,20141223,3032.61,3085.08,3136.84,3025.67,3127.45,-94.833,-3.0323,437762000,419468000
000001.SH,20141224,2972.53,3039.21,3050.51,2934.91,3032.61,-60.08,-1.9811,376805000,378727000
000001.SH,20141225,3072.54,2992.46,3073.34,2969.87,2972.53,100.004,3.3643,376948000,379018000
000001.SH,20141226,3157.6,3078,3164.16,3064.18,3072.54,85.067,2.7686,460701000,488915000
000001.SH,20141229,3168.02,3212.56,3223.86,3126.94,3157.6,10.413,0.3298,510111000,555904000
000001.SH,20141230,3165.81,3160.8,3190.3,3130.35,3168.02,-2.201,-0.0695,397725000,437263000
000001.SH,20141231,3234.68,3172.6,3239.36,3157.26,3165.81,68.862,2.1752,405999000,432320000
000001.SH,20150105,3350.52,3258.63,3369.28,3253.88,3234.68,115.842,3.5813,531352000,549760000
000001.SH,20150106,3351.45,3330.8,3394.22,3303.18,3350.52,0.927,0.0277,501662000,532398000
000001.SH,20150107,3373.95,3326.65,3374.9,3312.21,3351.45,22.508,0.6716,391919000,436417000
000001.SH,20150108,3293.46,3371.96,3381.57,3285.09,3373.95,-80.498,-2.3859,371131000,399230000
000001.SH,20150109,3285.41,3276.97,3404.83,3267.51,3293.46,-8.044,-0.2442,410241000,458648000
000001.SH,20150112,3229.32,3258.21,3275.19,3191.58,3285.41,-56.096,-1.7074,322065000,366273000
000001.SH,20150113,3235.3,3223.54,3259.39,3214.41,3229.32,5.985,0.1853,230726000,273589000
000001.SH,20150114,3222.44,3242.34,3268.48,3193.98,3235.3,-12.864,-0.3976,240191000,267205000
000001.SH,20150115,3336.46,3224.07,3337.08,3207.54,3222.44,114.018,3.5383,282546000,330611000
000001.SH,20150116,3376.5,3343.6,3400.32,3340.49,3336.46,40.04,1.2001,339877000,392254000
000001.SH,20150119,3116.35,3189.73,3262.21,3095.07,3376.5,-260.144,-7.7046,401099000,409886000
000001.SH,20150120,3173.05,3114.56,3190.25,3100.48,3116.35,56.701,1.8195,357081000,416295000
000001.SH,20150121,3323.61,3189.08,3337,3178.34,3173.05,150.559,4.7449,410956000,473759000
000001.SH,20150122,3343.34,3327.32,3352.38,3293.98,3323.61,19.733,0.5937,353383000,407874000
000001.SH,20150123,3351.76,3357.1,3406.79,3328.29,3343.34,8.42,0.2518,366249000,420980000
000001.SH,20150126,3383.18,3347.26,3384.8,3321.31,3351.76,31.418,0.9374,317541000,358427000
000001.SH,20150127,3352.96,3389.85,3390.22,3290.22,3383.18,-30.222,-0.8933,374518000,418299000
000001.SH,20150128,3305.74,3325.72,3354.8,3294.66,3352.96,-47.222,-1.4084,301927000,341564000
000001.SH,20150129,3262.3,3259,3286.79,3234.24,3305.74,-43.433,-1.3139,274659000,296425000
000001.SH,20150130,3210.36,3273.75,3288.5,3210.31,3262.3,-51.942,-1.5922,258313000,284266000
000001.SH,20150202,3128.3,3148.14,3175.13,3122.57,3210.36,-82.063,-2.5562,250862000,266850000
000001.SH,20150203,3204.91,3156.09,3207.94,3129.73,3128.3,76.607,2.4488,248192000,283356000
000001.SH,20150204,3174.13,3212.82,3238.98,3171.14,3204.91,-30.781,-0.9604,249098000,290155000
000001.SH,20150205,3136.53,3251.21,3251.21,3135.82,3174.13,-37.595,-1.1844,306139000,348267000
000001.SH,20150206,3075.91,3120.09,3129.54,3052.94,3136.53,-60.624,-1.9328,246750000,266503000
000001.SH,20150209,3095.12,3063.51,3119.03,3049.11,3075.91,19.217,0.6248,206108000,240720000
000001.SH,20150210,3141.59,3090.49,3142.1,3084.25,3095.12,46.469,1.5014,193817000,225085000
000001.SH,20150211,3157.7,3145.76,3166.42,3139.05,3141.59,16.111,0.5128,172840000,210863000
000001.SH,20150212,3173.42,3157.96,3181.77,3134.24,3157.7,15.712,0.4976,194592000,229692000
000001.SH,20150213,3203.83,3186.81,3237.16,3182.79,3173.42,30.411,0.9583,261290000,293018000
000001.SH,20150216,3222.36,3206.14,3228.85,3195.88,3203.83,18.536,0.5786,223797000,265951000
000001.SH,20150217,3246.91,3230.88,3255.73,3230.77,3222.36,24.543,0.7616,228333000,263340000
000001.SH,20150225,3228.84,3256.48,3257.22,3215.55,3246.91,-18.063,-0.5563,233348000,265143000
000001.SH,20150226,3298.36,3222.15,3300.62,3202.19,3228.84,69.516,2.153,301264000,334347000
000001.SH,20150227,3310.3,3296.83,3324.55,3291.01,3298.36,11.944,0.3621,299164000,335020000
000001.SH,20150302,3336.28,3332.72,3336.76,3298.67,3310.3,25.982,0.7849,346446000,410260000
000001.SH,20150303,3263.05,3317.7,3317.7,3260.43,3336.28,-73.233,-2.195,382045000,441593000
000001.SH,20150304,3279.53,3264.18,3286.59,3250.48,3263.05,16.481,0.5051,293640000,346790000
000001.SH,20150305,3248.48,3264.08,3266.64,3221.67,3279.53,-31.057,-0.947,320664000,373580000
000001.SH,20150306,3241.19,3248.04,3266.93,3234.53,3248.48,-7.289,-0.2244,282916000,328344000
000001.SH,20150309,3302.41,3224.31,3307.7,3198.37,3241.19,61.221,1.8888,321495000,359928000
000001.SH,20150310,3286.07,3289.08,3309.92,3277.09,3302.41,-16.34,-0.4948,285818000,329956000
000001.SH,20150311,3290.9,3289.59,3325.05,3278.47,3286.07,4.832,0.147,282986000,327573000
000001.SH,20150312,3349.32,3314.81,3360.05,3300.49,3290.9,58.423,1.7753,357295000,407192000
000001.SH,20150313,3372.91,3359.49,3391.25,3352.15,3349.32,23.588,0.7043,328410000,374041000
000001.SH,20150316,3449.3,3391.16,3449.3,3377.09,3372.91,76.394,2.2649,399132000,479355000
000001.SH,20150317,3502.85,3469.6,3504.12,3459.69,3449.3,53.542,1.5523,520940000,601501000
000001.SH,20150318,3577.3,3510.5,3577.66,3503.85,3502.85,74.454,2.1255,545217000,617367000
000001.SH,20150319,3582.27,3576.02,3600.68,3546.84,3577.3,4.97,0.1389,537347000,612250000
000001.SH,20150320,3617.32,3587.08,3632.34,3569.38,3582.27,35.047,0.9783,516662000,651772000
